,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
357,KSM-USD,-0.6411001466038619,2021-12-31,2024-08-06,949,100.0,35.8899853396138,-64.1100146603862,-94.17761456141868,100.0,0.0,73.30694585678933,146.0,1,0,1,-64.1100146603862,,,,,,,,,,,,,
441,MTV-USD,-0.6417129465212303,2021-12-31,2024-08-06,949,100.0,35.82870534787696,-64.17129465212304,-93.01405258669193,100.0,0.0,75.63338350816488,143.0,1,0,1,-64.17129465212304,,,,,,,,,,,,,
64,AVAX-USD,-0.642251589659194,2021-12-31,2024-08-06,949,100.0,35.774841034080595,-64.2251589659194,-81.78766455930165,100.0,0.0,67.7881712850274,141.0,1,0,1,-64.2251589659194,,,,,,,,,,,,,
588,SFUND-USD,-0.6442016747409065,2021-12-31,2024-08-06,949,100.0,35.57983252590935,-64.42016747409065,-85.5449877545856,100.0,0.0,77.74713022881085,146.0,1,0,1,-64.42016747409065,,,,,,,,,,,,,
506,PBR-USD,-0.6443658986982425,2021-12-31,2024-08-06,949,100.0,35.563410130175754,-64.43658986982425,-96.1658564550959,100.0,0.0,85.83630939459421,111.0,1,0,1,-64.43658986982425,,,,,,,,,,,,,
10,ADS-USD,-0.6447141681598343,2021-12-31,2024-08-06,949,100.0,35.52858318401657,-64.47141681598343,-91.18118651143375,100.0,0.0,72.0105958176642,146.0,1,0,1,-64.47141681598343,,,,,,,,,,,,,
209,EOSC-USD,-0.6455340283410481,2021-12-31,2024-08-06,949,100.0,35.446597165895184,-64.55340283410482,-92.75576603987575,100.0,0.0,72.11876009168577,148.0,1,0,1,-64.55340283410482,,,,,,,,,,,,,
591,SHR-USD,-0.6485421913148781,2021-12-31,2024-08-06,949,100.0,35.14578086851219,-64.85421913148781,-91.59600820461496,100.0,0.0,67.51425672744072,117.0,1,0,1,-64.85421913148781,,,,,,,,,,,,,
21,AIPAD-USD,-0.6496049551982828,2023-02-28,2024-08-06,525,100.0,35.03950448017173,-64.96049551982827,-91.03036241604829,100.0,0.0,80.88812482018247,148.0,1,0,1,-64.96049551982827,,,,,,,,,,,,,
425,MNDE-USD,-0.65065398526975,2022-02-15,2024-08-06,903,100.0,34.934601473025,-65.065398526975,-40.101649662873676,100.0,0.0,74.92099111570809,141.0,1,0,1,-65.065398526975,,,,,,,,,,,,,
389,LSS-USD,-0.6509635228507108,2021-12-31,2024-08-06,949,100.0,34.90364771492892,-65.09635228507108,-93.07804216622677,100.0,0.0,80.3716087838833,145.0,1,0,1,-65.09635228507108,,,,,,,,,,,,,
682,UNFI-USD,-0.6511231530893261,2021-12-31,2024-08-06,949,100.0,34.88768469106739,-65.11231530893261,-68.5873527609697,100.0,0.0,73.81476362708601,145.0,1,0,1,-65.11231530893261,,,,,,,,,,,,,
515,PIP-USD,-0.6534873259159122,2022-12-07,2024-08-06,608,100.0,34.651267408408785,-65.34873259159122,-96.77239064878542,100.0,0.0,78.31861284352516,142.0,1,0,1,-65.34873259159122,,,,,,,,,,,,,
650,TIDAL-USD,-0.6549494438599851,2021-12-31,2024-08-06,949,100.0,34.50505561400149,-65.49494438599851,-95.73451452729867,100.0,0.0,67.77546715279054,144.0,1,0,1,-65.49494438599851,,,,,,,,,,,,,
7,ACQ-USD,-0.6550153710272225,2022-09-27,2024-08-06,679,100.0,34.49846289727775,-65.50153710272225,-96.23861976689145,100.0,0.0,86.32506498467507,130.0,1,0,1,-65.50153710272225,,,,,,,,,,,,,
