,Symbol,Date,Close,rf_pb_15P_30d,all_buy_signal,final_buy_signal,sell_signal
25064,LTC-USD,2021-07-28,141.3212890625,0.0,0,0,0
25065,LTC-USD,2021-07-29,145.7750244140625,0.0,0,0,0
25066,LTC-USD,2021-07-30,144.93321228027344,0.0,0,0,0
25067,LTC-USD,2021-07-31,140.73553466796875,0.0,0,0,0
25068,LTC-USD,2021-08-01,141.50550842285156,0.0,0,0,0
25069,LTC-USD,2021-08-02,138.2908477783203,0.0,0,0,0
25070,LTC-USD,2021-08-03,142.623046875,0.0,0,0,0
25071,LTC-USD,2021-08-04,143.43597412109375,0.0,0,0,0
25072,LTC-USD,2021-08-05,147.8009490966797,0.0,0,0,0
25073,LTC-USD,2021-08-06,155.86477661132812,0.0,0,0,0
25074,LTC-USD,2021-08-07,149.8477325439453,0.0,0,0,0
25075,LTC-USD,2021-08-08,166.516357421875,0.0,0,0,0
25076,LTC-USD,2021-08-09,165.46041870117188,0.0,0,0,0
25077,LTC-USD,2021-08-10,170.93594360351562,0.0,0,0,0
25078,LTC-USD,2021-08-11,165.1310272216797,0.0,0,0,0
25079,LTC-USD,2021-08-12,183.2860870361328,0.0,0,0,0
25080,LTC-USD,2021-08-13,182.71127319335938,0.0,0,0,0
25081,LTC-USD,2021-08-14,184.904296875,0.0,0,0,0
25082,LTC-USD,2021-08-15,178.8544921875,0.0,0,0,0
25083,LTC-USD,2021-08-16,168.84263610839844,0.0,0,0,0
25084,LTC-USD,2021-08-17,167.3966064453125,0.0,0,0,0
25085,LTC-USD,2021-08-18,175.493408203125,0.0,0,0,0
25086,LTC-USD,2021-08-19,183.62852478027344,0.0,0,0,0
25087,LTC-USD,2021-08-20,179.73614501953125,0.0,0,0,0
25088,LTC-USD,2021-08-21,186.31309509277344,0.0,0,0,0
25089,LTC-USD,2021-08-22,187.10643005371094,0.0,0,0,0
25090,LTC-USD,2021-08-23,173.57681274414062,0.0,0,0,0
25091,LTC-USD,2021-08-24,177.6032257080078,0.0,0,0,0
25092,LTC-USD,2021-08-25,168.08558654785156,0.0,0,0,0
25093,LTC-USD,2021-08-26,175.98440551757812,0.0,0,0,0
25094,LTC-USD,2021-08-27,175.45408630371094,0.0,0,0,0
25095,LTC-USD,2021-08-28,174.7042236328125,0.0,0,0,0
25096,LTC-USD,2021-08-29,167.42466735839844,0.0,0,0,0
25097,LTC-USD,2021-08-30,171.6592254638672,0.0,0,0,0
25098,LTC-USD,2021-08-31,180.97216796875,0.0,0,0,0
25099,LTC-USD,2021-09-01,183.61724853515625,0.0,0,0,0
25100,LTC-USD,2021-09-02,212.96597290039062,0.0,0,0,0
25101,LTC-USD,2021-09-03,212.35845947265625,0.0,0,0,0
25102,LTC-USD,2021-09-04,231.333984375,0.0,0,0,0
25103,LTC-USD,2021-09-05,219.52577209472656,0.0,0,0,0
25104,LTC-USD,2021-09-06,178.11439514160156,0.0,0,0,0
25105,LTC-USD,2021-09-07,179.72467041015625,0.0,0,0,0
25106,LTC-USD,2021-09-08,180.37680053710938,0.0,0,0,0
25107,LTC-USD,2021-09-09,174.29603576660156,0.0,0,0,0
25108,LTC-USD,2021-09-10,178.68856811523438,0.0,0,0,0
25109,LTC-USD,2021-09-11,183.23448181152344,0.0,0,0,0
25110,LTC-USD,2021-09-12,179.48394775390625,0.0,0,0,0
25111,LTC-USD,2021-09-13,183.13906860351562,0.0,0,0,0
25112,LTC-USD,2021-09-14,189.23941040039062,0.0,0,0,0
25113,LTC-USD,2021-09-15,185.53807067871094,0.0,0,0,0
25114,LTC-USD,2021-09-16,179.68408203125,0.0,0,0,0
25115,LTC-USD,2021-09-17,181.30886840820312,0.0,0,0,0
25116,LTC-USD,2021-09-18,175.7406005859375,0.0,0,0,0
25117,LTC-USD,2021-09-19,156.46401977539062,0.0,0,0,0
25118,LTC-USD,2021-09-20,148.38987731933594,0.0,0,0,0
25119,LTC-USD,2021-09-21,161.41200256347656,0.0,0,0,0
25120,LTC-USD,2021-09-22,163.81834411621094,0.0,0,0,0
25121,LTC-USD,2021-09-23,152.2317352294922,0.0,0,0,0
25122,LTC-USD,2021-09-24,151.18145751953125,0.0,0,0,0
25123,LTC-USD,2021-09-25,150.640869140625,0.0,0,0,0
25124,LTC-USD,2021-09-26,145.34957885742188,0.0,0,0,0
25125,LTC-USD,2021-09-27,140.5971221923828,0.0,0,0,0
25126,LTC-USD,2021-09-28,144.9186248779297,0.0,0,0,0
25127,LTC-USD,2021-09-29,153.1479949951172,0.0,0,0,0
25128,LTC-USD,2021-09-30,166.1322021484375,0.0,0,0,0
25129,LTC-USD,2021-10-01,169.25892639160156,0.0,0,0,0
25130,LTC-USD,2021-10-02,170.60997009277344,0.0,0,0,0
25131,LTC-USD,2021-10-03,167.54014587402344,0.0,0,0,0
25132,LTC-USD,2021-10-04,173.89108276367188,0.0,0,0,0
25133,LTC-USD,2021-10-05,178.70567321777344,0.0,0,0,0
25134,LTC-USD,2021-10-06,178.771728515625,0.0,0,0,0
25135,LTC-USD,2021-10-07,175.97238159179688,0.0,0,0,0
25136,LTC-USD,2021-10-08,179.65866088867188,0.0,0,0,0
25137,LTC-USD,2021-10-09,175.31857299804688,0.0,0,0,0
25138,LTC-USD,2021-10-10,179.42605590820312,0.0,0,0,0
25139,LTC-USD,2021-10-11,172.79776000976562,0.0,0,0,0
25140,LTC-USD,2021-10-12,177.62832641601562,0.0,0,0,0
25141,LTC-USD,2021-10-13,180.11839294433594,0.0,0,0,0
25142,LTC-USD,2021-10-14,188.8141326904297,0.0,0,0,0
25143,LTC-USD,2021-10-15,186.18930053710938,0.0,0,0,0
25144,LTC-USD,2021-10-16,183.73052978515625,0.0,0,0,0
25145,LTC-USD,2021-10-17,185.55674743652344,0.0,0,0,0
25146,LTC-USD,2021-10-18,188.9398193359375,0.0,0,0,0
25147,LTC-USD,2021-10-19,206.87078857421875,0.0,0,0,0
25148,LTC-USD,2021-10-20,196.8691864013672,0.0,0,0,0
25149,LTC-USD,2021-10-21,190.82228088378906,0.0,0,0,0
25150,LTC-USD,2021-10-22,196.30950927734375,0.0,0,0,0
25151,LTC-USD,2021-10-23,190.9056854248047,0.0,0,0,0
25152,LTC-USD,2021-10-24,195.299560546875,0.0,0,0,0
25153,LTC-USD,2021-10-25,197.4688720703125,0.0,0,0,0
25154,LTC-USD,2021-10-26,179.33412170410156,0.0,0,0,0
25155,LTC-USD,2021-10-27,189.97763061523438,0.0,0,0,0
25156,LTC-USD,2021-10-28,196.34471130371094,0.0,0,0,0
25157,LTC-USD,2021-10-29,190.4823455810547,0.0,0,0,0
25158,LTC-USD,2021-10-30,191.81637573242188,0.0,0,0,0
25159,LTC-USD,2021-10-31,197.55499267578125,0.0,0,0,0
25160,LTC-USD,2021-11-01,200.7246856689453,0.0,0,0,0
25161,LTC-USD,2021-11-02,207.11013793945312,0.0,0,0,0
25162,LTC-USD,2021-11-03,202.96798706054688,0.0,0,0,0
25163,LTC-USD,2021-11-04,199.53793334960938,0.0,0,0,0
25164,LTC-USD,2021-11-05,197.86636352539062,0.0,0,0,0
25165,LTC-USD,2021-11-06,202.0513153076172,0.0,0,0,0
25166,LTC-USD,2021-11-07,228.69619750976562,0.0,0,0,0
25167,LTC-USD,2021-11-08,262.9067077636719,0.0,0,0,0
25168,LTC-USD,2021-11-09,261.2629699707031,0.0,0,0,0
25169,LTC-USD,2021-11-10,263.0867004394531,0.0,0,0,0
25170,LTC-USD,2021-11-11,251.55836486816406,0.0,0,0,0
25171,LTC-USD,2021-11-12,258.09320068359375,0.0,0,0,0
25172,LTC-USD,2021-11-13,278.00750732421875,0.0,0,0,0
25173,LTC-USD,2021-11-14,262.7633972167969,0.0,0,0,0
25174,LTC-USD,2021-11-15,230.59942626953125,0.0,0,0,0
25175,LTC-USD,2021-11-16,229.5041046142578,0.0,0,0,0
25176,LTC-USD,2021-11-17,204.42291259765625,0.0,0,0,0
25177,LTC-USD,2021-11-18,218.13858032226562,0.0,0,0,0
25178,LTC-USD,2021-11-19,227.07960510253906,0.0,0,0,0
25179,LTC-USD,2021-11-20,221.77194213867188,0.0,0,0,0
25180,LTC-USD,2021-11-21,209.15802001953125,0.0,0,0,0
25181,LTC-USD,2021-11-22,216.38897705078125,0.0,0,0,0
25182,LTC-USD,2021-11-23,209.8065948486328,0.0,0,0,0
25183,LTC-USD,2021-11-24,215.63497924804688,0.0,0,0,0
25184,LTC-USD,2021-11-25,194.87464904785156,0.0,0,0,0
25185,LTC-USD,2021-11-26,195.17442321777344,0.0,0,0,0
25186,LTC-USD,2021-11-27,199.35421752929688,0.0,0,0,0
25187,LTC-USD,2021-11-28,205.87020874023438,0.0,0,0,0
25188,LTC-USD,2021-11-29,208.01454162597656,0.0,0,0,0
25189,LTC-USD,2021-11-30,208.97125244140625,0.0,0,0,0
25190,LTC-USD,2021-12-01,203.4896240234375,0.0,0,0,0
25191,LTC-USD,2021-12-02,188.09971618652344,0.0,0,0,0
25192,LTC-USD,2021-12-03,163.05270385742188,0.0,0,0,0
25193,LTC-USD,2021-12-04,156.4097900390625,0.0,0,0,0
25194,LTC-USD,2021-12-05,161.8865203857422,0.0,0,0,0
25195,LTC-USD,2021-12-06,162.29286193847656,0.0,0,0,0
25196,LTC-USD,2021-12-07,165.2234649658203,0.0,0,0,0
25197,LTC-USD,2021-12-08,151.79530334472656,0.0,0,0,0
25198,LTC-USD,2021-12-09,148.59829711914062,0.0,0,0,0
25199,LTC-USD,2021-12-10,158.0419158935547,0.0,0,0,0
25200,LTC-USD,2021-12-11,159.20396423339844,0.0,0,0,0
25201,LTC-USD,2021-12-12,144.53590393066406,0.0,0,0,0
25202,LTC-USD,2021-12-13,146.0780029296875,0.0,0,0,0
25203,LTC-USD,2021-12-14,153.51541137695312,0.0,0,0,0
25204,LTC-USD,2021-12-15,148.9417266845703,0.0,0,0,0
25205,LTC-USD,2021-12-16,144.33840942382812,0.0,0,0,0
25206,LTC-USD,2021-12-17,148.80140686035156,0.0,0,0,0
25207,LTC-USD,2021-12-18,153.07763671875,0.0,0,0,0
25208,LTC-USD,2021-12-19,152.62867736816406,0.0,0,0,0
25209,LTC-USD,2021-12-20,154.92709350585938,0.0,0,0,0
25210,LTC-USD,2021-12-21,155.46749877929688,0.0,0,0,0
25211,LTC-USD,2021-12-22,163.44949340820312,0.0,0,0,0
25212,LTC-USD,2021-12-23,161.42103576660156,0.0,0,0,0
25213,LTC-USD,2021-12-24,157.7855987548828,0.0,0,0,0
25214,LTC-USD,2021-12-25,155.99234008789062,0.0,0,0,0
25215,LTC-USD,2021-12-26,155.8812255859375,0.0,0,0,0
25216,LTC-USD,2021-12-27,145.88687133789062,0.0,0,0,0
25217,LTC-USD,2021-12-28,145.5126190185547,0.0,0,0,0
25218,LTC-USD,2021-12-29,148.2860107421875,0.0,0,0,0
25219,LTC-USD,2021-12-30,146.51473999023438,0.0,0,0,0
25220,LTC-USD,2021-12-31,150.6974334716797,0.0,0,0,0
25221,LTC-USD,2022-01-01,151.2554931640625,0.0,0,0,0
25222,LTC-USD,2022-01-02,148.4615936279297,0.0,0,0,0
25223,LTC-USD,2022-01-03,146.81228637695312,0.0,0,0,0
25224,LTC-USD,2022-01-04,136.089111328125,0.0,0,0,0
25225,LTC-USD,2022-01-05,136.5037841796875,0.0,0,0,0
25226,LTC-USD,2022-01-06,131.4884490966797,0.0,0,0,0
25227,LTC-USD,2022-01-07,130.13748168945312,0.0,0,0,0
25228,LTC-USD,2022-01-08,131.29832458496094,0.0,0,0,0
