,Symbol,Date,Close,rf_pb_20P_30d,lr_pb_10N_30d,Xv_pb_20N_30d,rf_pb_10P_30d,rf_pb_15N_15d,rf_pb_15N_30d,Xv_pb_10N_15d,lr_pb_10N_15d,rf_pb_10N_30d,Xv_pb_10N_30d,rf_pb_20N_30d,rf_pb_10P_15d,lr_pb_10P_30d,Xv_pb_15N_30d,rf_pb_15P_30d,Xv_pb_10P_30d,rf_pb_10N_15d,rf_pb_25N_30d,lr_pb_15N_30d,Xv_pb_15P_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
3450,ADA-USD,2024-08-05,0.33172178268432617,0.4599386561151268,0.5272373083919877,0.43398356,0.4306566883288637,0.5724796163803518,0.5519389638139638,0.48362166,0.5592119600438946,0.516520784770785,0.91857743,0.5070094600102338,0.4242378578005821,0.20393954140083748,0.896389,0.4428759158154507,0.067156054,0.525219907099551,0.5730952965006408,0.4628027836810221,0.16192356,0.2993421935945094,0.4242378578005821,0,0.6049268484534978,0.5336690454395249,0
19230,AUDIO-USD,2024-08-05,0.11388099938631058,0.36914567622479283,0.4781777899125071,0.64398724,0.3855049431777372,0.5781437937062938,0.5996497687901141,0.5024093,0.5435889939740025,0.5538328274129264,0.94849175,0.6154121727945256,0.2933583578064105,0.49044428955858593,0.821696,0.26186734926636235,0.02680542,0.5073730941588085,0.5528768119135765,0.38635058275810796,0.060348753,0.2640456911236304,0.2933583578064105,0,0.6280482822883722,0.5308702746158445,0
13561,AOG-USD,2024-08-05,0.6823229789733887,0.451030957569001,0.14648154746938968,0.42528358,0.45624207736707745,0.5803397027176449,0.5811182774741599,0.45509398,0.443900463985664,0.534329718527087,0.67167896,0.5172816945205053,0.4381706932211625,0.9409237607514082,0.58839667,0.415887175953971,0.2259065,0.5953769471269471,0.5512003541027375,0.16000066743437213,0.31555948,0.4577678030741851,0.4381706932211625,0,0.47241415489306443,0.522175678914923,0
7118,AIOZ-USD,2024-08-05,0.5093868970870972,0.48662862415362435,0.2928998586968591,0.19365622,0.45468747102570645,0.5737009171384171,0.505752699584628,0.3308683,0.6372257521163739,0.4807528358592311,0.79330254,0.44591037390971594,0.4750189754066316,0.8702529615499107,0.81952685,0.4689103099288884,0.06400059,0.5222816068848677,0.4438999709704168,0.2449341347749273,0.15927055,0.4095530185539402,0.4750189754066316,0,0.48175830907035105,0.5131629656093928,0
5215,AERO-USD,2024-08-05,0.0002681166515685618,0.33646324731825816,0.36222779890953427,0.8354214,0.2633388788499083,0.5840056964234597,0.510468988527812,0.4751286,0.5099411698533335,0.4357742369789959,0.956695,0.4363721942144544,0.3314916387431778,0.5982404604718274,0.91982085,0.2721415696112348,0.008310955,0.4623496133496134,0.5840021945718539,0.3297615851342729,0.02612283,0.24446361515339152,0.3314916387431778,0,0.5952284850256507,0.5046523369717184,0
252481,ZPAY-USD,2024-08-05,0.013730759732425213,0.4794272777875719,0.03913526959502936,0.56532633,0.4525388875830052,0.49683733668292474,0.5009865826859498,0.46679258,0.18671810860476412,0.4706788655662869,0.95677173,0.5011594565565154,0.42743075217448656,0.9920029190622909,0.80074286,0.4170646853146853,0.08222085,0.536438312630922,0.4822426519558873,0.0427478493590886,0.036529887,0.4008290140992189,0.42743075217448656,0,0.49389794377355245,0.4294037112440173,0
15171,AR-USD,2024-08-05,20.643939971923828,0.3806896634885249,0.8819193092376886,0.103679255,0.311214035964036,0.3271927180520531,0.3730443133623581,0.02377502,0.7926961697975405,0.31565491452991457,0.021488225,0.3722497238285872,0.39747561696684097,0.34926590986749456,0.050525058,0.36142540792540806,0.052946195,0.34956095147542515,0.3412018259518259,0.8278274105242553,0.16206172,0.2685884750722745,0.39747561696684097,0,0.3594462343557598,0.3656287745004808,0
9471,ALEX-USD,2024-08-05,0.09895704686641693,0.3962350216208912,0.4759699506364716,0.51618296,0.37704197499340375,0.5956807884109354,0.5894879993195211,0.63144565,0.6023356743477435,0.528083998795164,0.93868655,0.5034046759054498,0.3739944111782233,0.6900014572814466,0.8619556,0.43212598844224226,0.024537055,0.5624581257522434,0.5574130690059135,0.4232584136492818,0.05183028,0.3238799734654627,0.3739944111782233,0,0.6061973903795066,0.5964604086364828,0
20235,AVA-USD,2024-08-05,0.4963691830635071,0.4062552635273224,0.9233026721251649,0.5405236,0.4310786830008584,0.5626388429877881,0.5210809329559329,0.565635,0.8289185492662883,0.5205833749583751,0.8724232,0.5049869226061174,0.3969924168380359,0.1569439566633017,0.91849905,0.42365694034647516,0.09064473,0.4940768557064997,0.5778602358096978,0.8874516805752091,0.18785812,0.2888067729432611,0.3969924168380359,0,0.6946375844079051,0.6048628056348696,0
632,1INCH-USD,2024-08-05,0.26274389028549194,0.47685292210276237,0.9485221331360613,0.45451945,0.4112076981591269,0.5774829323454324,0.5577306998557,0.48362166,0.8394982378498412,0.5176050338550341,0.89887345,0.49367765292842675,0.4302013205982897,0.12346182474931149,0.8423361,0.4685716228731709,0.13589875,0.5553181546122722,0.5934227260155704,0.9292487423261859,0.24337894,0.3155362679828287,0.4302013205982897,0,0.6927857876644304,0.6081341747023803,0
