,Symbol,Date,Close,lr_pb_10N_15d,lr_pb_10N_30d,lr_pb_10N_7d,lr_pb_10P_15d,lr_pb_10P_30d,lr_pb_10P_7d,lr_pb_15N_15d,lr_pb_15N_30d,lr_pb_15N_7d,lr_pb_15P_15d,lr_pb_15P_30d,lr_pb_15P_7d,lr_pb_20N_15d,lr_pb_20N_30d,lr_pb_20N_7d,lr_pb_20P_15d,lr_pb_20P_30d,lr_pb_20P_7d,lr_pb_25N_15d,lr_pb_25N_30d,lr_pb_25N_7d,lr_pb_25P_15d,lr_pb_25P_30d,lr_pb_25P_7d,rf_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_7d,rf_pb_10P_15d,rf_pb_10P_30d,rf_pb_10P_7d,rf_pb_15N_15d,rf_pb_15N_30d,rf_pb_15N_7d,rf_pb_15P_15d,rf_pb_15P_30d,rf_pb_15P_7d,rf_pb_20N_15d,rf_pb_20N_30d,rf_pb_20N_7d,rf_pb_20P_15d,rf_pb_20P_30d,rf_pb_20P_7d,rf_pb_25N_15d,rf_pb_25N_30d,rf_pb_25N_7d,rf_pb_25P_15d,rf_pb_25P_30d,rf_pb_25P_7d,Xv_pb_10N_15d,Xv_pb_10N_30d,Xv_pb_10N_7d,Xv_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_10P_7d,Xv_pb_15N_15d,Xv_pb_15N_30d,Xv_pb_15N_7d,Xv_pb_15P_15d,Xv_pb_15P_30d,Xv_pb_15P_7d,Xv_pb_20N_15d,Xv_pb_20N_30d,Xv_pb_20N_7d,Xv_pb_20P_15d,Xv_pb_20P_30d,Xv_pb_20P_7d,Xv_pb_25N_15d,Xv_pb_25N_30d,Xv_pb_25N_7d,Xv_pb_25P_15d,Xv_pb_25P_30d,Xv_pb_25P_7d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
751,ETH-USD,2024-06-15,3620.5634765625,0.48396483445454413,0.25997006730631406,0.11067496538394499,0.33571362214328293,0.7258117810939752,0.616186220535493,0.47251845224025446,0.3772052338479451,0.39520298232355433,0.28822979342659333,0.7167719283254994,0.6312131889106181,0.6823556966182437,0.6034752639135836,0.3631423427973792,0.56028657267855,0.680294549256724,0.4070991534022012,0.6785420497163771,0.6115779586475715,0.19221251532353498,0.8152933001070303,0.726252070132091,0.42775278765218633,0.34,0.29,0.39,0.63,0.65,0.59,0.25,0.24,0.49,0.74,0.66,0.64,0.29,0.28,0.48,0.76,0.59,0.67,0.38,0.52,0.43,0.73,0.72,0.63,0.21333377,0.075624265,0.37192652,0.6653291,0.41568023,0.9946866,0.80313313,0.01571884,0.79816556,0.97456723,0.9441155,0.84579086,0.7225969,0.7105186,0.7874914,0.9306665,0.8286456,0.99470705,0.93337846,0.71302354,0.8184512,0.95072716,0.6720997,0.71778977,0.6878599634200229,0.7221776068261401,0.7170998211222424,0.3256850128990915,0.45945255612790364,0.4497854684918535
1152,SOL-USD,2024-06-16,143.3342742919922,0.7128512969084766,0.5118618974573683,0.7352706368935061,0.480482215032851,0.6632018545046601,0.49055592226387745,0.6745204721850977,0.6484495566378912,0.8267912295160788,0.29187437868517835,0.5441569359754073,0.3641934704478697,0.6714033603177294,0.20077969823112882,0.8019013271177483,0.31857357187937796,0.32824432482798566,0.21130428244044988,0.6290305352580883,0.6215902056313457,0.9036389108354659,0.28500640494528096,0.43577274542786176,0.6253737163057838,0.42,0.25,0.39,0.59,0.71,0.57,0.33,0.19,0.54,0.71,0.67,0.65,0.4,0.27,0.55,0.78,0.62,0.74,0.58,0.48,0.67,0.77,0.7,0.66,0.22216907,0.17170736,0.2962921,0.5328711,0.4836131,0.98926884,0.8193562,0.014590289,0.893375,0.9615177,0.96511847,0.7149502,0.59321535,0.76235855,0.66635305,0.9435533,0.80451727,0.9948828,0.97320706,0.8003023,0.97647846,0.93388987,0.5496665,0.6524789,0.6544249735012102,0.6819789467006914,0.6763923991752312,0.3470881648509643,0.5233852850705956,0.5768983854856663
352,BTC-USD,2024-06-16,66490.296875,0.457564688863259,0.5721974322606947,0.19462523365373036,0.5524101665543256,0.6310187607798469,0.21428148930559154,0.2948653274478299,0.573688105196226,0.14968041133929713,0.3957448583577057,0.7072510008925363,0.11373737115777417,0.237160554480595,0.49342584489095553,0.11722370433501661,0.5324338339644844,0.3676214559054959,0.023020905529823287,0.09168303822631599,0.3852494587757867,0.004992080643029,0.08021802700759398,0.8236498211933451,0.012368084527984591,0.32,0.23,0.33,0.69,0.72,0.66,0.26,0.16,0.5,0.73,0.76,0.69,0.26,0.28,0.51,0.77,0.61,0.75,0.32,0.47,0.52,0.7,0.82,0.69,0.24871267,0.039540336,0.5069428,0.8133894,0.40375158,0.99366236,0.90090555,0.01791799,0.9017921,0.9617723,0.90503603,0.96248245,0.77509815,0.9163503,0.84507173,0.92743397,0.68174356,0.993697,0.40963948,0.77882606,0.6030196,0.9506391,0.8547871,0.79658544,0.6997710559777347,0.7357112925666254,0.6639013227556185,0.33893600981739735,0.40528927236040896,0.46066284847801164
752,ETH-USD,2024-06-16,3511.37890625,0.4138161290772416,0.2799042223725637,0.11865679583395976,0.2705122555652746,0.7470184801395394,0.6287196067109424,0.3753414369364353,0.33967396603860184,0.3589482170541234,0.209425583593028,0.7154406152510255,0.5872179599430557,0.5362688746673329,0.5355782283479271,0.2558301243698079,0.5599650098218087,0.6691862041909686,0.4070588714637863,0.4971335865146488,0.6885073095580294,0.22717514735922797,0.8185391142948104,0.6674888028028259,0.2958587805169533,0.33,0.3,0.41,0.6,0.65,0.6,0.26,0.23,0.46,0.71,0.68,0.65,0.29,0.28,0.48,0.75,0.59,0.69,0.36,0.53,0.45,0.75,0.71,0.66,0.21333377,0.075624265,0.40825212,0.6653291,0.43698004,0.9950334,0.79049283,0.015615149,0.7821486,0.97390395,0.92729926,0.9064241,0.7293494,0.7105186,0.7798446,0.9397596,0.7828331,0.9944577,0.9243254,0.71302354,0.8184512,0.9484319,0.6720997,0.71778977,0.6836665310479357,0.708015506335737,0.723492101788502,0.32595775111053993,0.4378807726696621,0.4521343660863797
1153,SOL-USD,2024-06-17,137.50399780273438,0.6289049073241589,0.5054795107569059,0.6420733479307669,0.4178115508055643,0.7344070983665459,0.5604283013545841,0.6035932306646644,0.645951568145009,0.8691215445581335,0.26180638797018707,0.6391338285219769,0.4582284448926749,0.6068294536471466,0.238165590223786,0.7736233611810708,0.40608689750131044,0.38231101811919377,0.3553611922712618,0.5738895925714356,0.6852292194864916,0.9181833046054981,0.41009439126728364,0.4793914281043176,0.6528795616433,0.42,0.27,0.39,0.59,0.69,0.57,0.38,0.19,0.53,0.71,0.67,0.66,0.42,0.29,0.55,0.78,0.59,0.72,0.57,0.54,0.7,0.77,0.69,0.66,0.22216907,0.17170736,0.27032614,0.5328711,0.4836131,0.98926884,0.8193562,0.014590289,0.893375,0.9615177,0.96511847,0.7149502,0.59321535,0.76235855,0.66635305,0.9435533,0.80451727,0.9948828,0.97320706,0.8003023,0.97647846,0.93388987,0.5496665,0.6524789,0.660842223995479,0.6846517426105012,0.6944373858957325,0.3587761663516089,0.5178380661098487,0.5639343081741326
353,BTC-USD,2024-06-17,65140.74609375,0.6698452894880421,0.8840229208177834,0.31900431367805254,0.27804445956463053,0.10330564880165875,0.07791188540981535,0.5067684762962065,0.7151446710687843,0.3567143303510194,0.19452412760132362,0.1524003755186958,0.08620919067963767,0.40958619080428305,0.5293940929120473,0.21303064190839957,0.17045302170826693,0.0795122785577939,0.02360089474610188,0.25762948505614763,0.3465236810843719,0.010358096494640234,0.05133147127575591,0.3464028397184449,0.021602444742057258,0.33,0.22,0.32,0.72,0.7,0.65,0.2,0.13,0.54,0.74,0.76,0.66,0.26,0.23,0.45,0.79,0.61,0.75,0.3,0.41,0.49,0.7,0.83,0.66,0.24646756,0.039540336,0.57080466,0.8507548,0.40375158,0.9850736,0.88405746,0.013148504,0.9456753,0.94900066,0.9407147,0.83530366,0.776238,0.52135897,0.7886502,0.92743397,0.7707387,0.99187297,0.3827055,0.5845583,0.6030196,0.9529295,0.89557403,0.79088044,0.6278447721662801,0.7022309487195283,0.6297496368999413,0.29897477552429064,0.42972957450017435,0.5023073426153103
753,ETH-USD,2024-06-17,3483.681396484375,0.4654147366084966,0.24524559511671373,0.17670591779820158,0.2788685196291431,0.7155748536616611,0.5458232601833902,0.38861418412073573,0.29736472209515186,0.2538974902897663,0.21157376601501474,0.6519681232853568,0.5118224347089876,0.5787637689805017,0.45260102557115933,0.24715070299499753,0.47100567174936714,0.6283087522776263,0.23574493523841128,0.5327515543197813,0.5844031279961813,0.1774855852968267,0.7414778430243002,0.6442501914445791,0.3114239252519338,0.32,0.27,0.39,0.61,0.67,0.59,0.21,0.18,0.47,0.7,0.67,0.66,0.29,0.24,0.44,0.75,0.59,0.71,0.34,0.45,0.43,0.73,0.72,0.67,0.15046225,0.041884527,0.43622115,0.72221625,0.43698004,0.9950334,0.7352649,0.01526958,0.8607126,0.9652398,0.92729926,0.9324281,0.70702785,0.2554765,0.7798446,0.9397596,0.84978855,0.992818,0.91158557,0.5493625,0.8184512,0.95081943,0.74913985,0.7527907,0.6920694721173726,0.7066861914063667,0.710374403745565,0.24055618031335038,0.4177272015935297,0.4582759649261672
1154,SOL-USD,2024-06-18,135.60960388183594,0.6242381738655156,0.4690873502000504,0.6296033961701044,0.3222906659025947,0.7730832829990368,0.5367066598361165,0.5633621013306065,0.622881429335864,0.8555378998359527,0.21101375764343203,0.6618193064010507,0.4797758127294596,0.6601708028726772,0.2538721214179285,0.745232902744203,0.38889981266739976,0.40117975275833273,0.3312651948985433,0.6044393688884514,0.692853395939113,0.9095603713398255,0.4375947618123812,0.4972335309645505,0.6904791484335393,0.42,0.27,0.39,0.59,0.69,0.57,0.38,0.19,0.53,0.71,0.67,0.66,0.42,0.29,0.55,0.78,0.59,0.72,0.57,0.54,0.7,0.77,0.69,0.66,0.22216907,0.17170736,0.27032614,0.5328711,0.4836131,0.98926884,0.8193562,0.014590289,0.893375,0.9615177,0.96511847,0.7149502,0.59321535,0.76235855,0.66635305,0.9435533,0.80451727,0.9948828,0.97320706,0.8003023,0.97647846,0.93388987,0.5496665,0.6524789,0.6656127115011357,0.6763991953862347,0.6937888568546033,0.35640698290302875,0.5179893902967485,0.5607640897183102
354,BTC-USD,2024-06-18,64960.296875,0.7524630036559462,0.8940814001867339,0.45099842855927497,0.23525790165830918,0.08547261743298065,0.06605274482711694,0.5777300640732511,0.7464136718169081,0.4230627214542488,0.15885825379778526,0.11415825216645925,0.07078855305321909,0.45347724845698856,0.5651518057847426,0.28960868704177106,0.14660206647587218,0.0701868160083659,0.020780637424014408,0.29131677654620497,0.36741469601285764,0.012065849501312462,0.03656950047457263,0.297078971029338,0.019397544378559745,0.33,0.22,0.32,0.72,0.7,0.65,0.2,0.13,0.54,0.74,0.76,0.66,0.26,0.23,0.45,0.79,0.61,0.75,0.3,0.41,0.49,0.7,0.83,0.66,0.24646756,0.039540336,0.57080466,0.8507548,0.40375158,0.9850736,0.88405746,0.013148504,0.9456753,0.94900066,0.9407147,0.83530366,0.776238,0.52135897,0.7886502,0.92743397,0.7707387,0.99187297,0.3827055,0.5845583,0.6030196,0.9529295,0.89557403,0.79088044,0.622780899202063,0.6962451820751748,0.6275963671082929,0.30244903928277284,0.4413043158071516,0.5233466462737473
754,ETH-USD,2024-06-18,3559.347412109375,0.5019222934699674,0.23675330854245594,0.17931453685845236,0.27541263144875155,0.7127651637724524,0.5079993418755565,0.44712299509123477,0.27245348272214603,0.2713282410011887,0.1950422360117488,0.676258386654635,0.4741046068908153,0.6273271474088984,0.5157020746020273,0.2998855044284492,0.44351361207542755,0.648612147889254,0.20672972215787266,0.5466483453838974,0.6036416620516687,0.1930407812843513,0.6996265256863741,0.6605269927558952,0.2710896378325338,0.31,0.27,0.37,0.62,0.67,0.59,0.21,0.19,0.46,0.71,0.67,0.66,0.29,0.24,0.44,0.76,0.58,0.71,0.33,0.45,0.4,0.73,0.7,0.67,0.15046225,0.041884527,0.31415373,0.81387025,0.43698004,0.9950334,0.7352649,0.01526958,0.8607126,0.9676806,0.92729926,0.9324281,0.70702785,0.2554765,0.7798446,0.9397596,0.84978855,0.992818,0.86190593,0.5493625,0.6483458,0.95081943,0.79093146,0.7527907,0.6955541545130473,0.7174619008983721,0.7023453340782825,0.24260661465371983,0.4201432592310993,0.42752983832105557
355,BTC-USD,2024-06-19,64828.65625,0.6640833532352968,0.9423812171519228,0.18710227587439657,0.26018532723539345,0.100360256335838,0.2203331824492639,0.4700715888610148,0.8750620683850179,0.5634485613560465,0.15760616463501204,0.11834732910484184,0.22011592350780548,0.5018432152013274,0.5229727529856066,0.19526682056932096,0.1744443727793705,0.06746827123726394,0.05702035422105027,0.5055643688016037,0.5218959199458056,0.014870701361470007,0.08108332255539016,0.21231449443474304,0.05785846510449437,0.34,0.2,0.37,0.68,0.73,0.65,0.22,0.11,0.56,0.7,0.77,0.66,0.3,0.22,0.45,0.77,0.63,0.74,0.37,0.4,0.56,0.75,0.84,0.66,0.26915467,0.12682378,0.5221329,0.5576297,0.433144,0.98301446,0.92658836,0.011451488,0.9385607,0.92750996,0.9407147,0.8167694,0.6788911,0.52449,0.8461457,0.92108333,0.7933116,0.98885334,0.5867084,0.5603055,0.787877,0.9325729,0.8635136,0.6590537,0.6303317270499327,0.6538208863963133,0.6443395965091172,0.3162712559894514,0.4595147373429984,0.5143656784466506
1155,SOL-USD,2024-06-19,133.47296142578125,0.34249889862887306,0.14765141490332623,0.5642901664721309,0.32743646898276635,0.7546883838800362,0.6198780266280816,0.3403222136251874,0.2902209907576912,0.7019027986570857,0.24413467496571636,0.6597490042103863,0.48042596295423773,0.4226708366634706,0.2888745529942236,0.7036440653590001,0.4029099991103449,0.6980488979038258,0.3875352813179686,0.38409732913918265,0.5449499287315154,0.8897251821741461,0.5515535255132146,0.5941172197342989,0.7517453110470459,0.41,0.26,0.36,0.6,0.67,0.57,0.37,0.2,0.52,0.72,0.68,0.66,0.39,0.29,0.54,0.78,0.56,0.7,0.53,0.54,0.66,0.73,0.67,0.66,0.187775,0.072575465,0.17237373,0.79937726,0.4836131,0.9881274,0.8193562,0.016744561,0.9051937,0.9615177,0.96511847,0.7111701,0.59321535,0.81377614,0.5753857,0.9420503,0.80451727,0.9961903,0.9119217,0.8003023,0.88996035,0.9526673,0.58279014,0.6923278,0.6778641652309345,0.7147881750133579,0.7049775315566525,0.3130009545237169,0.45791141945385977,0.507598679780563
