,Symbol,Date,Close,rf_pb_15N_30d,lr_pb_10N_30d,Xv_pb_10P_30d,rf_pb_20N_30d,rf_pb_10N_15d,rf_pb_10P_30d,Xv_pb_10N_30d,rf_pb_10N_30d,Xv_pb_15N_30d,rf_pb_15P_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
661950,SCRT-USD,2024-08-03,0.2028430849313736,0.5652570517288008,0.9480777562948155,0.0085531045,0.4221449237896606,0.5030090546565006,0.369815693438981,0.9751475,0.4962222698726835,0.91411835,0.37171387767719044,0.25460300679575243,0,0,0.7145973610057723,0.5030090546565006,0
571627,OUSD-USD,2024-08-03,0.9975830912590027,0.5598178704288039,0.1978213891784458,0.0058783703,0.42425299262141375,0.502955986809315,0.4655995207228083,0.977451,0.511415854882445,0.92042047,0.4523825815223649,0.3139420794097348,0,0,0.6011263848340629,0.502955986809315,0
559038,OP-USD,2024-08-03,1.3658849000930786,0.588880033755673,0.7838244731919941,0.0058783703,0.43552893889736,0.5029106808081266,0.4830482123820263,0.9485399,0.5341211218377119,0.9306554,0.44637536651514986,0.318227167215001,0,0,0.7003434941522276,0.5029106808081266,0
49888,API3-USD,2024-08-03,1.3851560354232788,0.6008800337556731,0.8772864833132533,0.0058783703,0.43473406710248824,0.5029106808081266,0.46929821238202635,0.9485399,0.5341211218377119,0.9306554,0.4429825093722927,0.31222788845074395,0,0,0.7169040204146864,0.5029106808081266,0
28013,AKT-USD,2024-08-03,2.2482519149780273,0.6108141445794897,0.7847163478129839,0.0048497897,0.5657744200244202,0.5022377812607587,0.34520186063936065,0.95177394,0.5343712138325517,0.9186291,0.2109795371992024,0.19276657647330786,0,0,0.722535595327911,0.5022377812607587,0
752384,TRB-USD,2024-08-03,59.439178466796875,0.5391455190873348,0.07532780583351732,0.014344174,0.5186335070158598,0.501416838049578,0.42686790405976444,0.94849175,0.45833224616183216,0.8732889,0.459343964257277,0.3050878968719988,0,0,0.5699721135690903,0.501416838049578,0
56765,ARKM-USD,2024-08-03,0.9859409928321838,0.5648195321657596,0.8396100357884293,0.004291526,0.43893356059145555,0.5010834461284823,0.48546305996134764,0.88081664,0.4715235527401429,0.93417466,0.4687670248568081,0.32580563959156617,0,0,0.6820290450422953,0.5010834461284823,0
651371,RUNE-USD,2024-08-03,3.3207099437713623,0.6148977554131005,0.3933792227854197,0.009382015,0.5657337246087246,0.49950761419182477,0.3410640262515262,0.9800888,0.5889826764153764,0.90234363,0.20505884677851205,0.1908331336995967,0,0,0.6751536005170683,0.49950761419182477,0
634904,REV3L-USD,2024-08-03,0.012981090694665909,0.46233595081389206,0.7904650057163911,0.011161088,0.5062811278590691,0.4992901937244043,0.3008646980708131,0.97977465,0.5360236100758548,0.86904967,0.2650522422719075,0.19642529056014535,0,0,0.6863248107273541,0.4992901937244043,0
700419,STORJ-USD,2024-08-03,0.31709015369415283,0.5493320539576932,0.8760870279905771,0.0085531045,0.4205589819537188,0.5252834371367654,0.501794382624192,0.9751475,0.4917824196901862,0.91411835,0.45789312594450293,0.32948799275164187,0,0,0.6994889310292222,0.5252834371367654,0
606442,PROM-USD,2024-08-03,5.473991870880127,0.5950164422817874,0.6312987092402524,0.009382015,0.5511714360201202,0.5256419279173149,0.36670377539127536,0.97919786,0.541472358302117,0.90234363,0.2614210262656915,0.21816674476712072,0,0,0.6972864724610304,0.5256419279173149,0
39286,AMB-USD,2024-08-03,0.007407351862639189,0.4795368471397882,0.6027909674052591,0.011161088,0.47805496271056763,0.4956575907609191,0.42419570462217515,0.9740647,0.4650123610050082,0.8980406,0.3784968861204156,0.27702447717099954,0,0,0.6454322810845361,0.4956575907609191,0
47156,AOG-USD,2024-08-03,0.681515634059906,0.5767446228880054,0.5259691733073396,0.068194106,0.5524609785639198,0.5662899818906011,0.4038513422851658,0.93819624,0.6148672743796956,0.7608976,0.43185903089641414,0.3052737156584346,0,0,0.6633714610505357,0.5662899818906011,0
52794,AR-USD,2024-08-03,21.657825469970703,0.5135216186290489,0.8313808236879621,0.015084936,0.4687833307043832,0.552543137021398,0.4361875624375624,0.94850063,0.5394627904774965,0.76579607,0.3618505134451788,0.2771879318360382,0,0,0.675446719042725,0.552543137021398,0
67594,AUCTION-USD,2024-08-03,13.759255409240723,0.6152930129333581,0.7793883143507372,0.008766562,0.6535418686920234,0.5528947409539517,0.3568996399841987,0.97122663,0.598173549189029,0.9305165,0.22473668721293144,0.20263423828127608,0,0,0.753194324837917,0.5528947409539517,0
871444,XRP-USD,2024-08-03,0.5288887023925781,0.5080736549670373,0.6968161201073032,0.06338122,0.5074516861365068,0.5554803719099386,0.43206265629795026,0.90908724,0.6236685464461547,0.8482437,0.3920630813630814,0.3009507800105988,0,0,0.6814320198602866,0.5554803719099386,0
622529,QUICK-USD,2024-08-03,33.569297790527344,0.595413378678724,0.4575702576329346,0.008912883,0.6060114330114328,0.561410562060949,0.37858492202242205,0.956762,0.5962257290353267,0.96846515,0.338080727675393,0.24699260276043483,0,0,0.6953054296438254,0.561410562060949,0
739325,TIME-USD,2024-08-03,17.546113967895508,0.6102658734062186,0.615756867344138,0.008766562,0.580620167843852,0.5619633287387158,0.3909485306360307,0.9683812,0.5934298884380155,0.9410459,0.28726162455628984,0.23495599718985472,0,0,0.7160622637668526,0.5619633287387158,0
842640,XCH-USD,2024-08-03,16.42192268371582,0.6169325400728853,0.5971074534583511,0.008766562,0.6066519138755979,0.5649633287387158,0.3827754537129537,0.9683812,0.5995013170094441,0.9410459,0.2629259102705756,0.22418754574237476,0,0,0.7193806133359206,0.5649633287387158,0
621113,QNT-USD,2024-08-03,61.90988540649414,0.581618341199863,0.43588156575227605,0.013190272,0.4780778360786098,0.5685815973099255,0.39745131565274433,0.89421284,0.5741435786435788,0.90144765,0.40833548156350014,0.27776486201894984,0,0,0.6450113879824175,0.5685815973099255,0
785659,USDC-USD,2024-08-03,0.9998036026954651,0.5614208218252336,0.03737481407896346,0.0058783703,0.43430549567391674,0.5256630575163858,0.48209394296723057,0.9485399,0.5226678390094291,0.9306554,0.42610081650375775,0.31134409734825474,0,0,0.5766006509613177,0.5256630575163858,0
23925,AIOZ-USD,2024-08-03,0.44526493549346924,0.48620118688501046,0.5927719565231672,0.0210066,0.462102302668092,0.5730319455102065,0.39729751158083254,0.9201203,0.5007746143535993,0.7526274,0.3788397782653258,0.2706976037098234,0,0,0.6179913353979855,0.5730319455102065,0
881945,YFI-USD,2024-08-03,5185.19580078125,0.5512403703714625,0.22903787529685227,0.03533236,0.4975708634330925,0.5770208339275678,0.4868089388561142,0.55732524,0.46346465146194255,0.6846118,0.5424430277112524,0.36001337933008914,0,0,0.4973096283548953,0.5770208339275678,0
783531,UQC-USD,2024-08-03,6.565035820007324,0.6048941262985379,0.14995742759288955,0.009382015,0.5205090282524492,0.5781719930253213,0.4126630682863559,0.9733296,0.5611933135349035,0.9246031,0.382535964688906,0.27364402366872487,0,0,0.6254770409779442,0.5781719930253213,0
567223,ORDI-USD,2024-08-03,28.080690383911133,0.5250390593705813,0.4997282867729115,0.008912883,0.48567005758259596,0.5806988411771694,0.4642669863321344,0.9593419,0.5206262065873719,0.9552105,0.488814868417716,0.32619657060538476,0,0,0.6553930449814659,0.5806988411771694,0
3385,AAVE-USD,2024-08-03,103.69927215576172,0.5949713786213787,0.520183331178923,0.070177235,0.6838344433344434,0.5866683167933168,0.3308371281281498,0.93300605,0.6675324743757778,0.6994096,0.28173377315932074,0.2314204559047716,0,0,0.6852033393425078,0.5866683167933168,0
778439,UNO-USD,2024-08-03,8.283989906311035,0.5922522935327728,0.46269286906647367,0.076027855,0.5945912094441506,0.5879994320670412,0.39571342464724824,0.9449327,0.5811923104547317,0.80381155,0.39205302154628724,0.2920370597835902,0,0,0.663673924452648,0.5879994320670412,0
786847,USDE-USD,2024-08-03,1.0178589820861816,0.5657711455211457,0.3155600329163179,0.06436824,0.6025130147630147,0.549184191751801,0.37644175595646184,0.87499875,0.6502210031672478,0.7942919,0.3233132492387968,0.2592423046608354,0,0,0.6371327472147873,0.549184191751801,0
861717,XMR-USD,2024-08-03,150.83740234375,0.5678124370183194,0.7283718533044083,0.20008539,0.5525739296245825,0.5484277753836577,0.4846989159906161,0.7434695,0.5016864207962339,0.80421984,0.37490180042055743,0.358016231672753,0,0,0.6443576889950222,0.5484277753836577,0
563729,ORAI-USD,2024-08-03,6.08140230178833,0.611817984693624,0.1555938183637329,0.009129773,0.5068595666029876,0.548012329159775,0.427386761260049,0.9733296,0.5377429167095067,0.9246031,0.40523590303745105,0.2861402212394304,0,0,0.6209610008170786,0.548012329159775,0
695740,SSV-USD,2024-08-03,22.881591796875,0.5803765266418719,0.2044819166614332,0.004606226,0.5307889610389609,0.5469122040601815,0.39088650932400926,0.92425597,0.5570600241262007,0.92730296,0.346816852661518,0.25281878956936676,0,0,0.6223819052722026,0.5469122040601815,0
673427,SHRAP-USD,2024-08-03,14.55436897277832,0.5998883032639427,0.5138947226408658,0.008766562,0.533656285407059,0.5464158325191608,0.4598377547110424,0.95958745,0.5366070204305499,0.9549243,0.41340304657942356,0.30023405670876824,0,0,0.6808877920640686,0.5464158325191608,0
867982,XPRT-USD,2024-08-03,0.21551118791103363,0.5889416380011009,0.845973126060693,0.011371097,0.49400077700077694,0.5434193053535158,0.307892433407372,0.9967314,0.5652876647776031,0.89484173,0.2736200954713397,0.20176418238222482,0,0,0.7277224625700892,0.5434193053535158,0
753602,TRIAS-USD,2024-08-03,5.756361484527588,0.5680891310309468,0.9958987765024003,0.009382015,0.5175058647492857,0.5434140426423709,0.43605935730935735,0.9846585,0.5062900873750984,0.9451988,0.35623295271979477,0.27350096143862723,0,0,0.7451771032907138,0.5434140426423709,0
704049,STRK-USD,2024-08-03,5.630538463592529,0.5883457624714018,0.9231724412974079,0.009382015,0.5118940598874808,0.542600203703532,0.45522814210142976,0.9733296,0.5351826713992615,0.9246031,0.41135695378333076,0.2981269252528541,0,0,0.7370016833704754,0.542600203703532,0
576737,PAXG-USD,2024-08-03,2477.373779296875,0.5923751248751248,0.34751893706742976,0.14524493,0.4861377051681577,0.5388987390605036,0.43171766664707856,0.81456685,0.4785018037518036,0.81128114,0.4590424599909894,0.34868882404548707,0,0,0.5881032981504521,0.5388987390605036,0
754264,TRIBL-USD,2024-08-03,1.509130835533142,0.5497285214785215,0.7840546816917278,0.055603627,0.5462550513212279,0.5380607625804994,0.3535707772619537,0.82867694,0.6523299354097882,0.8258118,0.2717640068145543,0.2316393825156628,0,0,0.6963067542978354,0.5380607625804994,0
827079,WIF-USD,2024-08-03,1.5093458890914917,0.4982880893616187,0.5231764259896055,0.020820038,0.3956031819058135,0.5369770241244026,0.4939637551725692,0.80751735,0.463917777562939,0.8767491,0.4518420935789356,0.32867517575780353,0,0,0.5916180584268155,0.5369770241244026,0
66338,ATOM-USD,2024-08-03,4.911717414855957,0.5995957624714019,0.9060611769111662,0.009382015,0.4861095666029876,0.5317305831280291,0.44668834856163636,0.9733296,0.5406318055983956,0.9246031,0.39968034748189546,0.2913128296790872,0,0,0.7334876901455996,0.5317305831280291,0
647631,RPL-USD,2024-08-03,11.850286483764648,0.6258214289617743,0.16694909204195246,0.008766562,0.6063549053285894,0.5297172969926841,0.3618436355311356,0.9683812,0.5660608408189678,0.9150379,0.2607166889363542,0.21600860201739142,0,0,0.6432269365490983,0.5297172969926841,0
788421,USDJ-USD,2024-08-03,1.0765269994735718,0.4946679676532617,0.18354530050367998,0.0063967616,0.4325090465090466,0.5296715059393079,0.463510545010545,0.9596365,0.4657882499268323,0.91000885,0.4659538517038518,0.3177426973697271,0,0,0.5752668124773022,0.5296715059393079,0
566771,ORCA-USD,2024-08-03,1.9339990615844727,0.6054715598766109,0.9073808873402903,0.0064311544,0.5591978642534693,0.5275450399989875,0.4080380779351367,0.9337085,0.6098231906981908,0.91739386,0.3672562558356677,0.26611744899438305,0,0,0.7511275413606566,0.5275450399989875,0
766151,TUSD-USD,2024-08-03,0.9988404512405396,0.47575042940567885,0.6390882082147457,0.06436824,0.5199479064194916,0.5274412432109802,0.4617739188915658,0.8444066,0.549572180584602,0.86963814,0.42730164280164296,0.32323638278421624,0,0,0.6463437214176656,0.5274412432109802,0
883049,YGG-USD,2024-08-03,0.345307856798172,0.5034668366586524,0.8529332134640754,0.0085531045,0.4188254213966289,0.5261972463667511,0.45456493627145805,0.98571557,0.45016515675016777,0.93738407,0.4009602393220814,0.2942695406154625,0,0,0.684948680579917,0.5261972463667511,0
35568,ALPINE-USD,2024-08-03,1.0852582454681396,0.5601527610284003,0.8403721785509511,0.0058783703,0.42029816966659067,0.4991487760462218,0.4853847355080231,0.9485399,0.5183678750844652,0.9306554,0.4663753665151498,0.3255146643784663,0,0,0.6988440970912511,0.4991487760462218,0
713246,SUSHI-USD,2024-08-03,0.5746059417724609,0.48559418153599737,0.7955310139877979,0.0032646738,0.43987631932910587,0.49499808132470674,0.4515863203802135,0.9596365,0.4412978098113922,0.91982085,0.461254916866759,0.31096897715313426,0,0,0.6670999617931724,0.49499808132470674,0
30166,ALEX-USD,2024-08-03,0.10017517954111099,0.494347405819155,0.624546910285368,0.0085531045,0.39032161931635606,0.4363368281901564,0.40601199713528474,0.9751475,0.41045646051863877,0.91411835,0.378440511565418,0.26968431967943823,0,0,0.6303287567568473,0.4363368281901564,0
872423,XTAG-USD,2024-08-03,0.01873752288520336,0.442885723710414,0.4387554242388649,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.32530999866146915,0.241595699349336,0,0,0.5872447737215365,0.4490850244383527,0
32038,ALGO-USD,2024-08-03,0.11490409821271896,0.5144069296286787,0.8653678795822362,0.0085531045,0.38309268158741844,0.4473173476706759,0.39276230238558996,0.9751475,0.42051670582888406,0.91411835,0.37365489499320775,0.2634140407115807,0,0,0.6722939089965008,0.4473173476706759,0
805504,VINU-USD,2024-08-03,3.947414825233864e-06,0.4544775356327852,0.20019414590862553,0.06483651,0.48382973480767605,0.448976862562389,0.45033605120369813,0.93035024,0.44422658010664856,0.8313478,0.3734846150581445,0.30193980292790884,0,0,0.5572555048271077,0.448976862562389,0
645467,RPK-USD,2024-08-03,0.00402106624096632,0.442885723710414,0.8055264077503566,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.32530999866146915,0.241595699349336,0,0,0.6445187628222127,0.4490850244383527,0
888436,ZELIX-USD,2024-08-03,9.659028728492558e-05,0.442885723710414,0.7360180872763096,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.32530999866146915,0.241595699349336,0,0,0.6336645268869641,0.4490850244383527,0
635845,REVU-USD,2024-08-03,0.011369726620614529,0.442885723710414,0.352152264317085,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.32530999866146915,0.241595699349336,0,0,0.5737210527609641,0.4490850244383527,0
637806,RFD-USD,2024-08-03,4.792968411493348e-06,0.442885723710414,0.18523953045455602,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.32530999866146915,0.241595699349336,0,0,0.5476564006216897,0.4490850244383527,0
643909,ROUP-USD,2024-08-03,0.0003152796998620033,0.442885723710414,0.36903869608088774,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.32530999866146915,0.241595699349336,0,0,0.576357993392226,0.4490850244383527,0
797392,VEGA-USD,2024-08-03,0.18338488042354584,0.48524392678185246,0.026842895674636456,0.009305167,0.44943304794620587,0.4547833450805588,0.40743364968364965,0.9806238,0.4194260565646388,0.8891345,0.39992270740954955,0.2773649309314142,0,0,0.5431173168106642,0.4547833450805588,0
616672,QI-USD,2024-08-03,0.005072266329079866,0.442885723710414,0.6756333818058424,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.32530999866146915,0.241595699349336,0,0,0.6242350105990304,0.4490850244383527,0
