,Symbol,Date,Close,Xv_pb_10N_30d,lr_pb_10P_30d,rf_pb_20P_30d,rf_pb_15P_30d,rf_pb_15N_30d,Xv_pb_15P_30d,rf_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_15N_30d,lr_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_15d,Xv_pb_20N_30d,lr_pb_10N_30d,rf_pb_25N_30d,lr_pb_15N_30d,rf_pb_15N_15d,Xv_pb_10N_15d,rf_pb_10P_30d,rf_pb_20N_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
113710,CWAR-USD,2024-07-10,0.008453999646008015,0.98230076,0.9272228352311579,0.5031898681383977,0.3246433319948025,0.442885723710414,0.007304427,0.39435365583537313,0.014439768,0.88082016,0.3821584100419846,0.4105554864926648,0.4490850244383527,0.88416654,0.24035322256158498,0.48470083679368126,0.1484016067942901,0.4731621903423375,0.7606221,0.375331677454965,0.355873817118554,0.3478855513719228,0.39435365583537313,0,0.5376501998469876,0.5165603088843387,0
9029,ADX-USD,2024-07-10,0.1656460016965866,0.9840237,0.7974801974359254,0.33266621856892514,0.2499375236571889,0.4794583047671282,0.007304427,0.33814319551973454,0.014439768,0.8477629,0.3880782275634319,0.44548989142259143,0.4498569232911339,0.88416654,0.2887563345679346,0.6003221611549783,0.1749853948233815,0.5883213807391441,0.6437221,0.2443778398888693,0.44588511868248715,0.2637215401743172,0.33814319551973454,0,0.5718168169457006,0.5157952104263744,0
21817,ALPHA-USD,2024-07-10,0.06701900064945221,0.98230076,0.47020273907529103,0.47272197492050444,0.37135717823208464,0.43026473685413313,0.007304427,0.3666093254715028,0.014439768,0.88082016,0.47903952983060916,0.3901003999125782,0.4194681413214695,0.88416654,0.6654688491584033,0.48810662544946987,0.532279873866502,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.2869593179463704,0.3666093254715028,0,0.6190566517609767,0.5105349208404312,0
142869,DSLA-USD,2024-07-10,0.0003429999924264848,0.9840237,0.2980214169064911,0.314022140424847,0.2163668165864819,0.3734265587353823,0.007304427,0.34076224313878223,0.014439768,0.8477629,0.5715584403626444,0.4112815580892582,0.40870685114106176,0.88416654,0.7203524049104287,0.537964518797336,0.5699069155900244,0.45666352397602394,0.6437221,0.23526672877775817,0.39928862745441696,0.17987183703850795,0.34076224313878223,0,0.630357036864093,0.5156625304612297,0
17340,AKT-USD,2024-07-10,3.381762981414795,0.96341115,0.6211361020562394,0.3419916611166612,0.27198417145383663,0.5812970869000279,0.010231861,0.48090473146344015,0.0112319235,0.71806145,0.4971976628050097,0.5199312787676166,0.5146828001170108,0.74873465,0.4700201461138472,0.5680406497097672,0.3299414032692933,0.5932150638104585,0.45774454,0.3594582949730008,0.5183876248020985,0.2651691597394294,0.48090473146344015,0,0.605808754761503,0.5147036044218107,0
140580,DPR-USD,2024-07-10,0.003260999917984009,0.98230076,0.3779365837027133,0.4774441971427267,0.36932687520178165,0.43026473685413313,0.007304427,0.3649426588048362,0.014439768,0.88082016,0.49616269198697227,0.3901003999125782,0.4194681413214695,0.88416654,0.671923398620984,0.47992480726765174,0.5188388440571865,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.2738094362252483,0.3649426588048362,0,0.6177196573813476,0.514480347552785,0
90647,CGPT-USD,2024-07-10,0.12745599448680878,0.98230076,0.5752390365292551,0.4923300727050728,0.39220462245452886,0.511490262962012,0.007304427,0.3573236111857886,0.014439768,0.88082016,0.3335055195597669,0.4182886479390614,0.4463368281901564,0.88416654,0.44804148303814,0.5292375778304222,0.32965373428294725,0.5922343126644597,0.686429,0.4072342193575069,0.39732161931635607,0.3123849828798265,0.3573236111857886,0,0.5968418281369366,0.5137060204537282,0
111806,CULT-USD,2024-07-10,1.9999999949504854e-06,0.9882328,0.0015897778910547327,0.3972253879464583,0.3136660751529172,0.3753345844901573,0.007288984,0.36119645900170577,0.014439768,0.9122406,0.5447160331574016,0.3384881205510728,0.421130825859154,0.90297216,0.8163636320445609,0.4907661159417777,0.7177132440295672,0.45906756274770993,0.6437221,0.3255945443445443,0.3494037593984962,0.1837944188569548,0.36119645900170577,0,0.6454683853989363,0.5136356201852826,0
58800,BICO-USD,2024-07-10,0.2879360020160675,0.95970374,0.48693370059960095,0.5041949300699301,0.4801233401101822,0.5466567505029779,0.007408664,0.48144038315593773,0.0074827196,0.87924886,0.5104442798497735,0.45833347974124633,0.4993989263998449,0.87660056,0.6592869254750795,0.5448883437311882,0.5287360338309576,0.5353349081474083,0.5116679,0.4986848381831258,0.4386046292888399,0.3329815720642173,0.48144038315593773,0,0.6522035153765721,0.5133087648553074,0
131340,DGB-USD,2024-07-10,0.007108000107109547,0.9840237,0.26852341778033834,0.2966464050491117,0.18664032085998616,0.34827143608025957,0.007304427,0.3033241150865323,0.014439768,0.8477629,0.5915800936689608,0.41316099319663435,0.38280208923629977,0.88416654,0.7825776583841806,0.5139685951303598,0.6329115719603637,0.4578994824619824,0.6437221,0.2577598361887155,0.4000540024303183,0.1719492189214837,0.3033241150865323,0,0.6385592057951928,0.5130528107572602,0
