,Symbol,Date,Close,rf_pb_25N_30d,Xv_pb_10N_30d,rf_pb_10N_30d,lr_pb_10N_30d,rf_pb_10N_15d,rf_pb_15N_30d,rf_pb_15N_15d,Xv_pb_15N_30d,rf_pb_20P_30d,rf_pb_10P_15d,lr_pb_15N_30d,rf_pb_20N_30d,Xv_pb_20N_30d,lr_pb_10P_30d,lr_pb_10N_15d,Xv_pb_15P_30d,rf_pb_10P_30d,rf_pb_15P_30d,Xv_pb_10P_30d,Xv_pb_10N_15d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
560471,ZKF-USD,2024-08-06,0.0009248907444998622,0.49650038167604343,0.9882328,0.33245637451932664,0.047186877909924464,0.4249944622227904,0.37815024105581385,0.44719382537397245,0.9122406,0.40528133200240235,0.3462118721955285,0.04686796812289122,0.35035247734721425,0.90297216,0.4835306677777545,0.07006963897978445,0.007288984,0.3232385669885669,0.3109911112279533,0.014439768,0.6437221,0.2548913368606739,0.3462118721955285,0,0.4934839176169707,0.4026411756430207,0
488236,UNI-USD,2024-08-06,0.00011202814494026825,0.448106827861437,0.9840237,0.2940041451427275,0.036855761655617165,0.4110658695736095,0.35508365078334114,0.41374137103007075,0.8477629,0.4341822067386352,0.3684690510429157,0.026191176581732985,0.3599466653229812,0.88416654,0.9727370686043698,0.07363025207586038,0.007304427,0.40741813741813737,0.4133678733547154,0.01570124,0.6944358,0.36547367484860327,0.3684690510429157,0,0.46934082198272054,0.40426615955811523,0
315967,MTV-USD,2024-08-06,0.000693285430315882,0.49650038167604343,0.9882328,0.33245637451932664,0.048467055169243996,0.4249944622227904,0.3760669077224805,0.44719382537397245,0.9122406,0.40528133200240235,0.3462118721955285,0.04589890821321233,0.35035247734721425,0.90297216,0.5698035971040957,0.07735939350398703,0.007288984,0.3232385669885669,0.3109911112279533,0.014439768,0.6437221,0.2675548818541855,0.3462118721955285,0,0.49327244134373344,0.4043208415811024,0
195266,GHX-USD,2024-08-06,0.07017797976732254,0.5350177959295604,0.9635447,0.39123026654454557,0.36751366299439153,0.39764720997901093,0.4031919534713652,0.45972543428793416,0.845832,0.3775308135150419,0.3926638655462185,0.2546628808770686,0.4508427692190851,0.87660056,0.5229046803105941,0.2994826335039381,0.007408664,0.27067184085072016,0.23946782668749195,0.0074827196,0.46375355,0.23255775372535398,0.3926638655462185,0,0.5625551046027002,0.4058079812503671,0
199052,GMEE-USD,2024-08-06,0.017115049064159393,0.4456450314878761,0.96227705,0.38516946156987514,0.4505410987035072,0.3976331846115128,0.4277054767128296,0.5118172383172385,0.756472,0.46584854279707244,0.4065213476996684,0.33069071694947616,0.34352455810443433,0.8380958,0.5089509324337552,0.34920871981300095,0.0061904434,0.43500206982559925,0.38352714708751856,0.019382082,0.37243134,0.30297720254729965,0.4065213476996684,0,0.5483626687229494,0.40665587805776615,0
231162,ID-USD,2024-08-06,0.047378018498420715,0.5497688533516706,0.9635447,0.38815054071481975,0.2770339860602553,0.43166596899777,0.3872298600092716,0.48737919025419024,0.845832,0.36668649117071955,0.4031598672901697,0.18743386444923868,0.43811383149014743,0.87660056,0.5656871642720701,0.24998319056598112,0.007408664,0.2709690101565102,0.20929766351732873,0.0074827196,0.46375355,0.23193357370773704,0.4031598672901697,0,0.543357635259521,0.4106660468735187,0
219880,HIPENGUINS-USD,2024-08-06,0.017266910523176193,0.5310034243362415,0.9806733,0.4202201562557974,0.10798302133747566,0.4032018006360112,0.3702122730210966,0.4705185300810301,0.8477629,0.292968749371456,0.3410193442248307,0.07007339641695513,0.40326523564155153,0.8382735,0.7080210498974416,0.12265821577417968,0.007304427,0.2543701368076368,0.18910063832030363,0.014042539,0.6437221,0.23558706263977802,0.3410193442248307,0,0.5085488171829491,0.41384123118255545,0
316234,MUBI-USD,2024-08-06,0.018856124952435493,0.5380363913692086,0.9840237,0.4060371497198498,0.1380843611893134,0.40236846730267783,0.36549005079887437,0.467978126040626,0.8477629,0.3168323857350923,0.3547449769376966,0.08834152077378331,0.3962139535902695,0.88416654,0.6935830130125406,0.1443979419543713,0.007304427,0.25805700549450555,0.18267062389028918,0.014439768,0.6437221,0.23689911803623603,0.3547449769376966,0,0.5157421486222794,0.4180206764728463,0
318666,MYRO-USD,2024-08-06,0.08183883875608444,0.5150527626456071,0.95970374,0.35768947165954457,0.4226705732915107,0.4142502972512157,0.47506190700424433,0.45190308996559003,0.87924886,0.46301341958694914,0.4134199768482974,0.3216801696327843,0.3980375963218069,0.87660056,0.6387341140377907,0.33442291721893674,0.007408664,0.4165378324111201,0.38867072573109723,0.0074827196,0.5116679,0.3170588462552744,0.4134199768482974,0,0.5753245184153365,0.42875265608509877,0
507494,VOLT-USD,2024-08-06,0.0005599161377176642,0.4647548297685868,0.9361721,0.38716407456658886,0.6203926468156189,0.4207685277685279,0.3972723779488486,0.5047319347319347,0.79104495,0.3647657985289565,0.4589880952380953,0.4800265561365067,0.38815810665942235,0.7684347,0.4241744671147956,0.4832889071431978,0.008226588,0.3084698300347387,0.28853197087663607,0.06633293,0.27918398,0.24214221104984637,0.4589880952380953,0,0.579104699361377,0.4194723917493694,0
457842,SYS-USD,2024-08-06,0.07171639055013657,0.5462182095510267,0.9840237,0.4060371497198498,0.1569546574817292,0.40236846730267783,0.38660116190998545,0.4668670149295149,0.8477629,0.3285717019744085,0.3564116436043632,0.10226196608994222,0.4028806202569361,0.88416654,0.6678507634540111,0.15706208369459226,0.007304427,0.2680570054945055,0.19835244207210734,0.014439768,0.6437221,0.2396271520813993,0.3564116436043632,0,0.5233120320858684,0.42068144040442407,0
372368,POKT-USD,2024-08-06,0.03252139315009117,0.5380363913692086,0.9840237,0.4060371497198498,0.16551340992946878,0.40236846730267783,0.36549005079887437,0.467978126040626,0.8477629,0.31211016351287013,0.3547449769376966,0.10728188041051005,0.3962139535902695,0.88416654,0.6654069384690492,0.15817762889044362,0.007304427,0.25805700549450555,0.18267062389028918,0.014439768,0.6437221,0.2320168345120466,0.3547449769376966,0,0.5206771039374727,0.42119571764976177,0
