;Symbol;Date;Close;Models;Probability;model;percent_correct_entries;simulate_variation;reached_target
55;CAKE-USD;2024-08-24;1,9920185804367065;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,16483516483516483;-0,06574178077375668;False
80;ICP-USD;2024-08-24;8,633596420288086;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,16111111111111112;-0,06100374801950723;False
95;GAS-USD;2024-08-24;3,7427122592926025;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,08108108108108109;-0,06042314342650305;False
59;BAL-USD;2024-08-24;2,1826467514038086;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,15873015873015872;-0,05739423907441883;False
62;ETHW-USD;2024-08-24;2,2213692665100098;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,15730337078651685;-0,048255500049500785;False
82;AXS-USD;2024-08-24;5,318483352661133;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,14207650273224043;-0,04071675516611167;False
79;DOT-USD;2024-08-24;4,874101161956787;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,16393442622950818;-0,036536267620914394;False
116;UNFI-USD;2024-08-24;3,30587100982666;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,20812182741116753;-0,036496609460969776;False
108;GNS-USD;2024-08-24;2,785982847213745;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,1712707182320442;-0,03476499764947663;False
93;FORTH-USD;2024-08-24;3,2060437202453613;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,17032967032967034;-0,02425355371909513;False
99;DCR-USD;2024-08-24;11,664234161376953;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,20772946859903382;-0,02198623230079801;False
60;LINK-USD;2024-08-24;12,233193397521973;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,27053140096618356;-0,017579038055987418;False
53;FIL-USD;2024-08-24;4,201985836029053;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,15300546448087432;-0,009944728001493906;False
83;KCS-USD;2024-08-24;8,652151107788086;Xv_pb_15P_30d;0,9634190201759338;Xv_pb_15P_30d;0,12637362637362637;-0,0017420707799784985;False
1257;MKR-USD;2024-08-24;2149,08837890625;Xv_pb_25P_30d;0,9623679518699646;Xv_pb_25P_30d;0,17391304347826086;0,0443164217422969;False
1343;BNB-USD;2024-08-24;577,1387329101562;Xv_pb_25P_30d;0,961846649646759;Xv_pb_25P_30d;0,21256038647342995;0,10465804187752702;False
140;XTZ-USD;2024-08-24;0,7450234889984131;Xv_pb_15P_30d;0,961503803730011;Xv_pb_15P_30d;0,1340782122905028;-0,03539063482076525;False
3840;DASH-USD;2024-08-24;26,507352828979492;Xv_pb_20P_30d;0,9612020254135132;Xv_pb_20P_30d;0,12365591397849462;0,00783027665706115;False
3820;TIME-USD;2024-08-24;17,524314880371094;Xv_pb_20P_30d;0,9612020254135132;Xv_pb_20P_30d;0,045454545454545456;-0,08084311738659249;False
3777;XCH-USD;2024-08-24;16,60019874572754;Xv_pb_20P_30d;0,9612020254135132;Xv_pb_20P_30d;0,13131313131313133;-0,07244103009774042;False
3856;LTC-USD;2024-08-24;65,30661010742188;Xv_pb_20P_30d;0,9612020254135132;Xv_pb_20P_30d;0,13227513227513227;-0,009434874582634452;False
3828;ETC-USD;2024-08-24;20,238893508911133;Xv_pb_20P_30d;0,9612020254135132;Xv_pb_20P_30d;0,12755102040816327;-0,008396968381868498;False
150;ENS-USD;2024-08-24;21,518878936767578;Xv_pb_15P_30d;0,9605005979537964;Xv_pb_15P_30d;0,34299516908212563;0,06423897111993701;False
3790;INJ-USD;2024-08-24;22,634151458740234;Xv_pb_20P_30d;0,9603939652442932;Xv_pb_20P_30d;0,10714285714285714;-0,06042600820759394;False
3;TRAC-USD;2024-08-24;0,5741881728172302;Xv_pb_15P_30d;0,9586895108222961;Xv_pb_15P_30d;0,19662921348314608;0,026859439597807434;False
608;AI-USD;2024-08-24;0,05876609683036804;Xv_pb_15P_30d;0,957935094833374;Xv_pb_15P_30d;0,0;0,08380895100942794;False
110;CVX-USD;2024-08-24;2,330660104751587;Xv_pb_15P_30d;0,957192063331604;Xv_pb_15P_30d;0,2620320855614973;0,04931557837487079;False
123;GAFI-USD;2024-08-24;3,3709447383880615;Xv_pb_15P_30d;0,957192063331604;Xv_pb_15P_30d;0,1044776119402985;-0,13336677988189538;False
96;HAPI-USD;2024-08-24;10,15998649597168;Xv_pb_15P_30d;0,957192063331604;Xv_pb_15P_30d;0,09895833333333333;-0,08320347771483985;False
122;TRIAS-USD;2024-08-24;5,454139232635498;Xv_pb_15P_30d;0,957192063331604;Xv_pb_15P_30d;0,2154696132596685;-0,05641126274699165;False
104;BOND-USD;2024-08-24;1,9856442213058472;Xv_pb_15P_30d;0,957192063331604;Xv_pb_15P_30d;0,2356020942408377;-0,04722123533007697;False
120;UQC-USD;2024-08-24;5,43280029296875;Xv_pb_15P_30d;0,957192063331604;Xv_pb_15P_30d;0,20958083832335328;-0,039379356586992736;False
125;EWT-USD;2024-08-24;1,5900567770004272;Xv_pb_15P_30d;0,957192063331604;Xv_pb_15P_30d;0,30319148936170215;-0,0008306503200666602;False
1803;PEOPLE-USD;2024-08-24;0,07444744557142258;Xv_pb_25P_30d;0,9562162756919861;Xv_pb_25P_30d;0,28350515463917525;0,19308440157417225;False
51;JTO-USD;2024-08-24;2,7138383388519287;Xv_pb_15P_30d;0,9559876322746277;Xv_pb_15P_30d;0,5294117647058824;0,12457156339886631;False
112;PENDLE-USD;2024-08-24;3,4445066452026367;Xv_pb_15P_30d;0,9559876322746277;Xv_pb_15P_30d;0,37640449438202245;0,08589625590675189;False
103;NEAR-USD;2024-08-24;5,008071422576904;Xv_pb_15P_30d;0,9559876322746277;Xv_pb_15P_30d;0,287292817679558;0,06668439640742334;False
1301;PAXG-USD;2024-08-24;2514,214111328125;Xv_pb_25P_30d;0,9559702277183533;Xv_pb_25P_30d;0,0;0,02946752415730038;False
37;AUCTION-USD;2024-08-24;17,19911003112793;Xv_pb_15P_30d;0,955742597579956;Xv_pb_15P_30d;0,22110552763819097;-0,018936672789180983;False
23;MKR-USD;2024-08-24;2149,08837890625;Xv_pb_15P_30d;0,9552934169769287;Xv_pb_15P_30d;0,11042944785276074;-0,031680727708179986;False
74;FLIP-USD;2024-08-24;1,2361071109771729;Xv_pb_15P_30d;0,9549593925476074;Xv_pb_15P_30d;0,0380952380952381;-0,22714759978386662;False
30;LDO-USD;2024-08-24;1,2578016519546509;Xv_pb_15P_30d;0,9549593925476074;Xv_pb_15P_30d;0,13812154696132597;-0,09419034041258874;False
43;DEGO-USD;2024-08-24;1,720901608467102;Xv_pb_15P_30d;0,9549593925476074;Xv_pb_15P_30d;0,10989010989010989;-0,06627226507304951;False
3860;TRB-USD;2024-08-24;78,10159301757812;Xv_pb_20P_30d;0,9541630148887634;Xv_pb_20P_30d;0,14659685863874344;-0,022087576366187578;False
1347;WBTC-USD;2024-08-24;64291,01953125;Xv_pb_25P_30d;0,9528350234031677;Xv_pb_25P_30d;0,1691542288557214;0,06366211790531515;False
26;FLUX-USD;2024-08-24;0,6171630024909973;Xv_pb_15P_30d;0,9519689083099365;Xv_pb_15P_30d;0,192090395480226;0,03306109882160047;False
47;PERP-USD;2024-08-24;0,6814394593238831;Xv_pb_15P_30d;0,9519689083099365;Xv_pb_15P_30d;0,1452513966480447;-0,0843570990217422;False
27;FLOW-USD;2024-08-24;0,6057687401771545;Xv_pb_15P_30d;0,9519689083099365;Xv_pb_15P_30d;0,18994413407821228;-0,010666667855560023;False
4182;YGG-USD;2024-08-24;0,47890669107437134;Xv_pb_20P_30d;0,9517647624015808;Xv_pb_20P_30d;0,1323529411764706;-0,05507258321522466;False
4230;AZERO-USD;2024-08-24;0,442763090133667;Xv_pb_20P_30d;0,9517647624015808;Xv_pb_20P_30d;0,13432835820895522;-0,04659971385367485;False
