;simulation;Date;model;number_correct_entries;number_entries;percent_correct_entries;simulate_entry;simulate_return;simulate_variation
229;30;;Xv_pb_10N_15d;2;5;0,4;500;424,6598897565843;-0,15068022048683144
230;31;;Xv_pb_10N_15d;1;5;0,2;500;514,1184460113996;0,028236892022799113
231;32;;Xv_pb_10N_15d;2;5;0,4;500;504,0069554617246;0,008013910923449203
232;33;;Xv_pb_10N_15d;2;5;0,4;500;466,253053829294;-0,067493892341412
233;34;;Xv_pb_10N_15d;3;5;0,6;500;471,7339495223231;-0,056532100955353826
234;35;;Xv_pb_10N_15d;3;5;0,6;500;444,4196003400957;-0,11116079931980857
235;36;;Xv_pb_10N_15d;1;5;0,2;500;608,573466231192;0,21714693246238403
236;37;;Xv_pb_10N_15d;2;5;0,4;500;500,72879158416214;0,0014575831683242768
237;38;;Xv_pb_10N_15d;2;5;0,4;500;512,5625965707602;0,025125193141520414
238;39;;Xv_pb_10N_15d;1;5;0,2;500;518,7732323524714;0,037546464704942766
239;40;;Xv_pb_10N_15d;2;5;0,4;500;518,3394373670062;0,03667887473401243
240;41;;Xv_pb_10N_15d;0;5;0,0;500;634,7848685375202;0,2695697370750404
241;42;;Xv_pb_10N_15d;2;5;0,4;500;462,6121923400185;-0,07477561531996298
242;43;;Xv_pb_10N_15d;3;5;0,6;500;410,22532410146016;-0,17954935179707968
243;44;;Xv_pb_10N_15d;1;5;0,2;500;520,9464577863853;0,04189291557277056
244;45;;Xv_pb_10N_15d;2;5;0,4;500;504,2634133758824;0,008526826751764815
245;46;;Xv_pb_10N_15d;4;5;0,8;500;454,9751237350381;-0,09004975252992381
246;47;;Xv_pb_10N_15d;2;5;0,4;500;460,38290660178154;-0,07923418679643691
247;48;;Xv_pb_10N_15d;1;5;0,2;500;526,4655773642806;0,052931154728561296
248;49;;Xv_pb_10N_15d;2;5;0,4;500;450,73259101102275;-0,0985348179779545
249;50;;Xv_pb_10N_15d;1;5;0,2;500;497,89141716916924;-0,004217165661661511
250;1;;Xv_pb_10N_30d;2;5;0,4;500;480,7376426718701;-0,03852471465625979
251;2;;Xv_pb_10N_30d;2;5;0,4;500;480,2214051707076;-0,03955718965858478
252;3;;Xv_pb_10N_30d;1;5;0,2;500;562,8866583584485;0,12577331671689695
253;4;;Xv_pb_10N_30d;2;5;0,4;500;457,07677837337417;-0,08584644325325166
254;5;;Xv_pb_10N_30d;1;5;0,2;500;608,5838615818811;0,2171677231637623
255;6;;Xv_pb_10N_30d;2;5;0,4;500;449,02857178051534;-0,10194285643896933
256;7;;Xv_pb_10N_30d;2;5;0,4;500;501,4424224943141;0,0028848449886281742
257;8;;Xv_pb_10N_30d;2;5;0,4;500;660,2136703595864;0,3204273407191729
258;9;;Xv_pb_10N_30d;1;5;0,2;500;755,62902562876;0,51125805125752
259;10;;Xv_pb_10N_30d;3;5;0,6;500;717,9005316325835;0,43580106326516693
260;11;;Xv_pb_10N_30d;0;5;0,0;500;569,6916729298365;0,139383345859673
261;12;;Xv_pb_10N_30d;3;5;0,6;500;471,27737504820334;-0,05744524990359332
262;13;;Xv_pb_10N_30d;2;5;0,4;500;511,8179057338847;0,02363581146776937
263;14;;Xv_pb_10N_30d;1;5;0,2;500;479,4304423024133;-0,04113911539517335
264;15;;Xv_pb_10N_30d;1;5;0,2;500;534,8405358954836;0,06968107179096727
265;16;;Xv_pb_10N_30d;1;5;0,2;500;521,6884178891224;0,04337683577824487
266;17;;Xv_pb_10N_30d;2;5;0,4;500;474,2139486986223;-0,051572102602755424
267;18;;Xv_pb_10N_30d;3;5;0,6;500;466,02215773326986;-0,06795568453346026
268;19;;Xv_pb_10N_30d;3;5;0,6;500;545,5462097648597;0,09109241952971933
269;20;;Xv_pb_10N_30d;1;5;0,2;500;572,3249764666691;0,14464995293333824
270;21;;Xv_pb_10N_30d;2;5;0,4;500;449,90550602749187;-0,10018898794501627
271;22;;Xv_pb_10N_30d;3;5;0,6;500;485,52011579702486;-0,028959768405950284
272;23;;Xv_pb_10N_30d;0;5;0,0;500;712,7930012704513;0,4255860025409027
273;24;;Xv_pb_10N_30d;3;5;0,6;500;519,118839323539;0,03823767864707793
